one	two
2617.813801	0.9912
2622.501303	0.991
2627.188805	0.989
2631.876306	0.988
2636.563808	0.988
2641.25131	0.986
2645.938812	0.9853
2650.626313	0.9848
2655.313815	0.984
2660.001317	0.9836
2664.688819	0.982
2669.37632	0.9818
2674.063822	0.981
2678.751324	0.979
2683.438826	0.9783
2688.126327	0.978
2692.813829	0.976
2697.501331	0.975
2702.188833	0.973
2706.876334	0.97
2711.563836	0.9671
2716.251338	0.9626
2720.93884	0.9594
2725.626341	0.9557
2730.313843	0.9524
2735.001345	0.9466
2739.688846	0.9388
2744.376348	0.9358
2749.06385	0.9334
2753.751352	0.9309
2758.438853	0.9274
2763.126355	0.9238
2767.813857	0.9214
2772.501359	0.9179
2777.18886	0.915
2781.876362	0.9118
2786.563864	0.9049
2791.251366	0.8979
2795.938867	0.8925
2800.626369	0.8879
2805.313871	0.8814
2810.001373	0.8749
2814.688874	0.8674
2819.376376	0.8589
2824.063878	0.8495
2828.75138	0.8379
2833.438881	0.8215
2838.126383	0.8
2842.813885	0.7741
2847.501387	0.7233
2852.188888	0.6781
2856.87639	0.6562
2861.563892	0.5826
2866.251394	0.5434
2870.938895	0.4746
2875.626397	0.4465
2880.313899	0.4019
2885.0014	0.3795
2889.688902	0.3549
2894.376404	0.3412
2899.063906	0.3269
2903.751407	0.3062
2908.438909	0.3092
2913.126411	0.3437
2917.813913	0.3594
2922.501414	0.3657
2927.188916	0.37
2931.876418	0.37
2936.56392	0.3652
2941.251421	0.361
2945.938923	0.3548
2950.626425	0.3352
2955.313927	0.3157
2960.001428	0.2877
2964.68893	0.2797
2969.376432	0.2544
2974.063934	0.2447
2978.751435	0.2448
2983.438937	0.247
2988.126439	0.2442
2992.813941	0.2471
2997.501442	0.3014
3002.188944	0.3383
3006.876446	0.3767
3011.563948	0.4666
3016.251449	0.5439
3020.938951	0.6078
3025.626453	0.6908
3030.313954	0.7692
3035.001456	0.805
3039.688958	0.8839
3044.37646	0.9245
3049.063961	0.9537
3053.751463	0.9672
3058.438965	0.981
3063.126467	0.9847
3067.813968	0.9882
3072.50147	0.9904
3077.188972	0.992
3081.876474	0.994
3086.563975	0.995
3091.251477	0.995
3095.938979	0.9954
3100.626481	0.997
3105.313982	0.997
3110.001484	0.9977
3114.688986	0.998
3119.376488	0.9993
3124.063989	1
3128.751491	1
3133.438993	1
3138.126495	1
3142.813996	1
3147.501498	1
3152.189	1
3156.876502	1
3161.564003	1
3166.251505	1.001
3170.939007	1.0009
3175.626508	1
3180.31401	1
3185.001512	0.998
3189.689014	0.997
3194.376515	0.997
3199.064017	0.995
3203.751519	0.994
3208.439021	0.992
3213.126522	0.992
3217.814024	0.991
3222.501526	0.991
3227.189028	0.992
3231.876529	0.994
3236.564031	0.995
3241.251533	0.997
3245.939035	0.998
3250.626536	1
3255.314038	1.001
3260.00154	1.0015
3264.689042	1.002
3269.376543	1.004
3274.064045	1.004
3278.751547	1.005
3283.439049	1.005
3288.12655	1.005
3292.814052	1.0069
3297.501554	1.007
3302.189056	1.007
3306.876557	1.007
3311.564059	1.007
3316.251561	1.007
3320.939062	1.007
3325.626564	1.007
3330.314066	1.007
3335.001568	1.007
3339.689069	1.007
3344.376571	1.007
3349.064073	1.007
3353.751575	1.005
3358.439076	1.005
3363.126578	1.005
3367.81408	1.005
3372.501582	1.0039
3377.189083	1.005
3381.876585	1.004
3386.564087	1.0023
3391.251589	1.0033
3395.93909	1.001
3400.626592	1.001
3405.314094	1.001
3410.001596	1.001
3414.689097	1.002
3419.376599	1.0026
3424.064101	1.004
3428.751603	1.004
3433.439104	1.004
3438.126606	1.002
3442.814108	1.001
3447.50161	1.001
3452.189111	1.0002
3456.876613	1
3461.564115	0.9985
3466.251616	0.998
3470.939118	1
3475.62662	1
3480.314122	1.001
3485.001623	1.001
3489.689125	1.001
3494.376627	1.0012
3499.064129	1.002
3503.75163	1.002
3508.439132	1.002
3513.126634	1.004
3517.814136	1.004
3522.501637	1.004
3527.189139	1.002
3531.876641	1.0018
3536.564143	1.0003
3541.251644	1
3545.939146	1
3550.626648	0.9997
3555.31415	0.9974
3560.001651	0.9949
3564.689153	0.9914
3569.376655	0.991
3574.064157	0.9902
3578.751658	0.9908
3583.43916	0.9884
3588.126662	0.9878
3592.814163	0.985
3597.501665	0.9819
3602.189167	0.9768
3606.876669	0.9717
3611.56417	0.9621
3616.251672	0.9495
3620.939174	0.9289
3625.626676	0.9084
3630.314177	0.8797
3635.001679	0.8476
3639.689181	0.8111
3644.376683	0.7634
3649.064184	0.7274
3653.751686	0.725
3658.439188	0.724
3663.12669	0.6958
3667.814191	0.74
3672.501693	0.751
3677.189195	0.75
3681.876697	0.7699
3686.564198	0.7903
3691.2517	0.8688
3695.939202	0.9252
3700.626704	0.9527
3705.314205	0.9709
3710.001707	0.9848
3714.689209	0.991
3719.376711	0.9967
3724.064212	1
3728.751714	1.001
3733.439216	1
3738.126717	1
3742.814219	1.0004
3747.501721	1.001
3752.189223	1.001
3756.876724	1.001
3761.564226	1.001
3766.251728	1
3770.93923	1
3775.626731	0.998
3780.314233	0.998
3785.001735	0.998
3789.689237	0.9987
3794.376738	1
3799.06424	0.9993
3803.751742	1
